Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Chevrolet,Suburban,5.3L V8 Gasoline,5300 cc,355 л.с.,190 km/h,7.6 сек,4 552 400 руб.,Petrol,8,519 Nm
Chevrolet,Colorado,2.7L Turbo Inline-4 Gasoline,2700 cc,310 л.с.,190 km/h,6.8 сек,2 332 820 руб.,Petrol,5,583 Nm
Chevrolet,Silverado 1500,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.0 сек,3 252 420 руб.,Petrol,6,519 Nm
Chevrolet,Silverado 2500HD,6.6L V8 Gasoline,6600 cc,401 л.с.,170 km/h,8.0 сек,3 154 000 руб.,Petrol,6,629 Nm
Chevrolet,Silverado 3500HD,6.6L V8 Diesel,6600 cc,445 л.с.,160 km/h,8.5 сек,3 458 000 руб.,Diesel,6,1234 Nm
Chevrolet,Bolt EV,Single Electric Motor,66 kWh,200 л.с.,150 km/h,6.5 сек,2 089 620 руб.,Electric,5,360 Nm
Chevrolet,Bolt EUV,Single Electric Motor,66 kWh,200 л.с.,150 km/h,7.0 сек,2 188 420 руб.,Electric,5,360 Nm
Chevrolet,Trailblazer,1.3L Turbo Inline-3 Gasoline,1300 cc,155 л.с.,200 km/h,9.4 сек,1 755 600 руб.,Petrol,5,236 Nm
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000 cc,250 л.с.,240 km/h,5.8 сек,2 546 000 руб.,Petrol,5,353 Nm
Chevrolet,Camaro ZL1,6.2L Supercharged V8 Gasoline,6200 cc,650 л.с.,318 km/h,3.5 сек,5 114 800 руб.,Petrol,4,881 Nm
Chevrolet,Corvette Stingray,6.2L V8 Gasoline,6200 cc,495 л.с.,312 km/h,3.0 сек,5 008 020 руб.,Petrol,2,637 Nm
Chevrolet,Silverado 1500 High Country,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.0 сек,4 681 220 руб.,Petrol,6,519 Nm
Chevrolet,Silverado 1500 Trail Boss,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.0 сек,4 248 020 руб.,Petrol,6,519 Nm
Chevrolet,Silverado 1500 RST,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.1 сек,3 868 020 руб.,Petrol,6,519 Nm
Chevrolet,Colorado ZR2,2.8L Turbo Diesel I4,2800 cc,181 л.с.,160 km/h,9.1 сек,3 670 420 руб.,Diesel,5,500 Nm
Chevrolet,Traverse Premier,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,7.0 сек,3 541 600 руб.,Petrol,7,360 Nm
Chevrolet,Equinox Premier,1.5L Turbo Inline-4 Gasoline,1500 cc,170 л.с.,200 km/h,8.8 сек,2 538 400 руб.,Petrol,5,275 Nm
Chevrolet,Blazer RS,3.6L V6 Gasoline,3600 cc,308 л.с.,220 km/h,6.6 сек,3 716 400 руб.,Petrol,5,366 Nm
Chevrolet,Bolt EV 2LT,Single Electric Motor,66 kWh,200 л.с.,150 km/h,6.7 сек,2 188 420 руб.,Electric,5,360 Nm
Chevrolet,Camaro SS,6.2L V8 Gasoline,6200 cc,455 л.с.,290 km/h,4.3 сек,3 306 000 руб.,Petrol,4,617 Nm
Chevrolet,Corvette Grand Sport,6.2L V8 Gasoline,6200 cc,460 л.с.,290 km/h,3.9 сек,5 008 400 руб.,Petrol,2,630 Nm
Chevrolet,Traverse RS,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,7.0 сек,3 321 200 руб.,Petrol,7,360 Nm
Chevrolet,Blazer Premier,3.6L V6 Gasoline,3600 cc,308 л.с.,220 km/h,6.6 сек,3 420 000 руб.,Petrol,5,366 Nm
Chevrolet,Malibu LT,1.5L Turbo Inline-4 Gasoline,1500 cc,160 л.с.,210 km/h,8.5 сек,1 960 800 руб.,Petrol,5,250 Nm
Chevrolet,Spark Activ,1.4L Inline-4 Gasoline,1400 cc,98 л.с.,180 km/h,11.0 сек,1 337 220 руб.,Petrol,5,127 Nm
Chevrolet,Trax LT,1.2L Turbo Inline-3 Gasoline,1200 cc,137 л.с.,200 km/h,9.2 сек,1 831 600 руб.,Petrol,5,220 Nm
Chevrolet,Equinox LT,1.5L Turbo Inline-4 Gasoline,1500 cc,170 л.с.,200 km/h,8.9 сек,2 158 400 руб.,Petrol,5,275 Nm
Chevrolet,Silverado 3500HD High Country,6.6L V8 Diesel,6600 cc,445 л.с.,160 km/h,8.5 сек,5 753 200 руб.,Diesel,6,1234 Nm
Chevrolet,Colorado WT,2.7L Turbo Inline-4 Gasoline,2700 cc,310 л.с.,190 km/h,6.9 сек,2 219 200 руб.,Petrol,5,583 Nm
Chevrolet,Suburban High Country,6.2L V8 Gasoline,6200 cc,420 л.с.,200 km/h,7.0 сек,6 262 400 руб.,Petrol,8,624 Nm
Chevrolet,Silverado Custom,4.3L V6 Gasoline,4300 cc,285 л.с.,180 km/h,8.5 сек,2 576 400 руб.,Petrol,6,413 Nm
Chevrolet,Spark LS,1.4L Inline-4 Gasoline,1400 cc,98 л.с.,180 km/h,10.9 сек,1 094 020 руб.,Petrol,5,127 Nm
Chevrolet,Traverse LT,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,7.1 сек,2 827 200 руб.,Petrol,7,360 Nm
